h-5,h-5 href,truncate href,mx-2,text-yellow,text-olive,text-pink
1175. Prime Arrangements,https://leetcode.com/problems/prime-arrangements,,52.7%,,Easy,
1176. Diet Plan Performance,https://leetcode.com/problems/diet-plan-performance,,52.7%,,Easy,
1177. Can Make Palindrome from Substring,https://leetcode.com/problems/can-make-palindrome-from-substring,,37.2%,Medium,,
1178. Number of Valid Words for Each Puzzle,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle/solution,46.9%,,,Hard
1179. Reformat Department Table,https://leetcode.com/problems/reformat-department-table,,82.3%,,Easy,
1180. Count Substrings with Only One Distinct Letter,https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter,https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter/solution,78.7%,,Easy,
1181. Before and After Puzzle,https://leetcode.com/problems/before-and-after-puzzle,,45.0%,Medium,,
1182. Shortest Distance to Target Color,https://leetcode.com/problems/shortest-distance-to-target-color,https://leetcode.com/problems/shortest-distance-to-target-color/solution,54.3%,Medium,,
1183. Maximum Number of Ones,https://leetcode.com/problems/maximum-number-of-ones,,59.9%,,,Hard
1184. Distance Between Bus Stops,https://leetcode.com/problems/distance-between-bus-stops,,54.1%,,Easy,
1185. Day of the Week,https://leetcode.com/problems/day-of-the-week,,58.7%,,Easy,
1186. Maximum Subarray Sum with One Deletion,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,,40.5%,Medium,,
1187. Make Array Strictly Increasing,https://leetcode.com/problems/make-array-strictly-increasing,,44.5%,,,Hard
1188. Design Bounded Blocking Queue,https://leetcode.com/problems/design-bounded-blocking-queue,,73.0%,Medium,,
1189. Maximum Number of Balloons,https://leetcode.com/problems/maximum-number-of-balloons,https://leetcode.com/problems/maximum-number-of-balloons/solution,62.6%,,Easy,
1190. Reverse Substrings Between Each Pair of Parentheses,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,,65.6%,Medium,,
1191. K-Concatenation Maximum Sum,https://leetcode.com/problems/k-concatenation-maximum-sum,,24.1%,Medium,,
1192. Critical Connections in a Network,https://leetcode.com/problems/critical-connections-in-a-network,https://leetcode.com/problems/critical-connections-in-a-network/solution,52.0%,,,Hard
1193. Monthly Transactions I,https://leetcode.com/problems/monthly-transactions-i,,67.5%,Medium,,
1194. Tournament Winners,https://leetcode.com/problems/tournament-winners,,52.0%,,,Hard
1195. Fizz Buzz Multithreaded,https://leetcode.com/problems/fizz-buzz-multithreaded,,72.0%,Medium,,
1196. How Many Apples Can You Put into the Basket,https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket,https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket/solution,67.6%,,Easy,
1197. Minimum Knight Moves,https://leetcode.com/problems/minimum-knight-moves,https://leetcode.com/problems/minimum-knight-moves/solution,39.5%,Medium,,
1198. Find Smallest Common Element in All Rows,https://leetcode.com/problems/find-smallest-common-element-in-all-rows,https://leetcode.com/problems/find-smallest-common-element-in-all-rows/solution,76.0%,Medium,,
1199. Minimum Time to Build Blocks,https://leetcode.com/problems/minimum-time-to-build-blocks,,40.2%,,,Hard
1200. Minimum Absolute Difference,https://leetcode.com/problems/minimum-absolute-difference,https://leetcode.com/problems/minimum-absolute-difference/solution,69.8%,,Easy,
1201. Ugly Number III,https://leetcode.com/problems/ugly-number-iii,,27.7%,Medium,,
1202. Smallest String With Swaps,https://leetcode.com/problems/smallest-string-with-swaps,,52.4%,Medium,,
1203. Sort Items by Groups Respecting Dependencies,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,,49.2%,,,Hard
1204. Last Person to Fit in the Bus,https://leetcode.com/problems/last-person-to-fit-in-the-bus,,73.5%,Medium,,
1205. Monthly Transactions II,https://leetcode.com/problems/monthly-transactions-ii,,44.8%,Medium,,
1206. Design Skiplist,https://leetcode.com/problems/design-skiplist,,59.7%,,,Hard
1207. Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences,,72.0%,,Easy,
1208. Get Equal Substrings Within Budget,https://leetcode.com/problems/get-equal-substrings-within-budget,,46.3%,Medium,,
1209. Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/solution,56.0%,Medium,,
1210. Minimum Moves to Reach Target with Rotations,https://leetcode.com/problems/minimum-moves-to-reach-target-with-rotations,,47.9%,,,Hard
1211. Queries Quality and Percentage,https://leetcode.com/problems/queries-quality-and-percentage,,70.7%,,Easy,
1212. Team Scores in Football Tournament,https://leetcode.com/problems/team-scores-in-football-tournament,,57.2%,Medium,,
1213. Intersection of Three Sorted Arrays,https://leetcode.com/problems/intersection-of-three-sorted-arrays,https://leetcode.com/problems/intersection-of-three-sorted-arrays/solution,79.9%,,Easy,
1214. Two Sum BSTs,https://leetcode.com/problems/two-sum-bsts,https://leetcode.com/problems/two-sum-bsts/solution,66.9%,Medium,,
1215. Stepping Numbers,https://leetcode.com/problems/stepping-numbers,,45.3%,Medium,,
1216. Valid Palindrome III,https://leetcode.com/problems/valid-palindrome-iii,https://leetcode.com/problems/valid-palindrome-iii/solution,51.3%,,,Hard
1217. Minimum Cost to Move Chips to The Same Position,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position/solution,72.7%,,Easy,
1218. Longest Arithmetic Subsequence of Given Difference,https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference,,50.8%,Medium,,
1219. Path with Maximum Gold,https://leetcode.com/problems/path-with-maximum-gold,,65.9%,Medium,,
1220. Count Vowels Permutation,https://leetcode.com/problems/count-vowels-permutation,https://leetcode.com/problems/count-vowels-permutation/solution,56.3%,,,Hard
1221. Split a String in Balanced Strings,https://leetcode.com/problems/split-a-string-in-balanced-strings,,84.7%,,Easy,
1222. Queens That Can Attack the King,https://leetcode.com/problems/queens-that-can-attack-the-king,,71.0%,Medium,,
1223. Dice Roll Simulation,https://leetcode.com/problems/dice-roll-simulation,,47.7%,,,Hard
1224. Maximum Equal Frequency,https://leetcode.com/problems/maximum-equal-frequency,,36.6%,,,Hard
1225. Report Contiguous Dates,https://leetcode.com/problems/report-contiguous-dates,,63.1%,,,Hard
1226. The Dining Philosophers,https://leetcode.com/problems/the-dining-philosophers,,58.7%,Medium,,
1227. Airplane Seat Assignment Probability,https://leetcode.com/problems/airplane-seat-assignment-probability,,63.9%,Medium,,
1228. Missing Number In Arithmetic Progression,https://leetcode.com/problems/missing-number-in-arithmetic-progression,https://leetcode.com/problems/missing-number-in-arithmetic-progression/solution,51.1%,,Easy,
1229. Meeting Scheduler,https://leetcode.com/problems/meeting-scheduler,https://leetcode.com/problems/meeting-scheduler/solution,54.6%,Medium,,
1230. Toss Strange Coins,https://leetcode.com/problems/toss-strange-coins,,52.3%,Medium,,
1231. Divide Chocolate,https://leetcode.com/problems/divide-chocolate,https://leetcode.com/problems/divide-chocolate/solution,56.0%,,,Hard
1232. Check If It Is a Straight Line,https://leetcode.com/problems/check-if-it-is-a-straight-line,,42.2%,,Easy,
1233. Remove Sub-Folders from the Filesystem,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,,65.0%,Medium,,
1234. Replace the Substring for Balanced String,https://leetcode.com/problems/replace-the-substring-for-balanced-string,,36.1%,Medium,,
1235. Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/solution,50.8%,,,Hard
1236. Web Crawler,https://leetcode.com/problems/web-crawler,,65.5%,Medium,,
1237. Find Positive Integer Solution for a Given Equation,https://leetcode.com/problems/find-positive-integer-solution-for-a-given-equation,,69.5%,Medium,,
1238. Circular Permutation in Binary Representation,https://leetcode.com/problems/circular-permutation-in-binary-representation,,67.7%,Medium,,
1239. Maximum Length of a Concatenated String with Unique Characters,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/solution,50.6%,Medium,,
1240. Tiling a Rectangle with the Fewest Squares,https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares,,52.9%,,,Hard
1241. Number of Comments per Post,https://leetcode.com/problems/number-of-comments-per-post,,67.8%,,Easy,
1242. Web Crawler Multithreaded,https://leetcode.com/problems/web-crawler-multithreaded,,48.5%,Medium,,
1243. Array Transformation,https://leetcode.com/problems/array-transformation,,50.3%,,Easy,
1244. Design A Leaderboard,https://leetcode.com/problems/design-a-leaderboard,https://leetcode.com/problems/design-a-leaderboard/solution,68.0%,Medium,,
1245. Tree Diameter,https://leetcode.com/problems/tree-diameter,https://leetcode.com/problems/tree-diameter/solution,62.3%,Medium,,
1246. Palindrome Removal,https://leetcode.com/problems/palindrome-removal,,46.1%,,,Hard
1247. Minimum Swaps to Make Strings Equal,https://leetcode.com/problems/minimum-swaps-to-make-strings-equal,,63.7%,Medium,,
1248. Count Number of Nice Subarrays,https://leetcode.com/problems/count-number-of-nice-subarrays,,58.4%,Medium,,
1249. Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/solution,65.2%,Medium,,
1250. Check If It Is a Good Array,https://leetcode.com/problems/check-if-it-is-a-good-array,,57.7%,,,Hard
1251. Average Selling Price,https://leetcode.com/problems/average-selling-price,,83.3%,,Easy,
1252. Cells with Odd Values in a Matrix,https://leetcode.com/problems/cells-with-odd-values-in-a-matrix,,78.5%,,Easy,
1253. Reconstruct a 2-Row Binary Matrix,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,,43.1%,Medium,,
1254. Number of Closed Islands,https://leetcode.com/problems/number-of-closed-islands,,63.1%,Medium,,
1255. Maximum Score Words Formed by Letters,https://leetcode.com/problems/maximum-score-words-formed-by-letters,,71.9%,,,Hard
1256. Encode Number,https://leetcode.com/problems/encode-number,,69.3%,Medium,,
1257. Smallest Common Region,https://leetcode.com/problems/smallest-common-region,,62.8%,Medium,,
1258. Synonymous Sentences,https://leetcode.com/problems/synonymous-sentences,,56.3%,Medium,,
1259. Handshakes That Don't Cross,https://leetcode.com/problems/handshakes-that-dont-cross,,55.5%,,,Hard
1260. Shift 2D Grid,https://leetcode.com/problems/shift-2d-grid,https://leetcode.com/problems/shift-2d-grid/solution,62.5%,,Easy,
1261. Find Elements in a Contaminated Binary Tree,https://leetcode.com/problems/find-elements-in-a-contaminated-binary-tree,,75.7%,Medium,,
1262. Greatest Sum Divisible by Three,https://leetcode.com/problems/greatest-sum-divisible-by-three,,50.8%,Medium,,
1263. Minimum Moves to Move a Box to Their Target Location,https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location,,48.3%,,,Hard
1264. Page Recommendations,https://leetcode.com/problems/page-recommendations,,67.6%,Medium,,
1265. Print Immutable Linked List in Reverse,https://leetcode.com/problems/print-immutable-linked-list-in-reverse,,94.3%,Medium,,
1266. Minimum Time Visiting All Points,https://leetcode.com/problems/minimum-time-visiting-all-points,,79.1%,,Easy,
1267. Count Servers that Communicate,https://leetcode.com/problems/count-servers-that-communicate,,58.1%,Medium,,
1268. Search Suggestions System,https://leetcode.com/problems/search-suggestions-system,https://leetcode.com/problems/search-suggestions-system/solution,65.5%,Medium,,
1269. Number of Ways to Stay in the Same Place After Some Steps,https://leetcode.com/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps,,43.4%,,,Hard
1270. All People Report to the Given Manager,https://leetcode.com/problems/all-people-report-to-the-given-manager,,88.0%,Medium,,
1271. Hexspeak,https://leetcode.com/problems/hexspeak,,56.3%,,Easy,
1272. Remove Interval,https://leetcode.com/problems/remove-interval,https://leetcode.com/problems/remove-interval/solution,60.8%,Medium,,
1273. Delete Tree Nodes,https://leetcode.com/problems/delete-tree-nodes,,61.2%,Medium,,
1274. Number of Ships in a Rectangle,https://leetcode.com/problems/number-of-ships-in-a-rectangle,https://leetcode.com/problems/number-of-ships-in-a-rectangle/solution,68.5%,,,Hard
1275. Find Winner on a Tic Tac Toe Game,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game/solution,55.1%,,Easy,
1276. Number of Burgers with No Waste of Ingredients,https://leetcode.com/problems/number-of-burgers-with-no-waste-of-ingredients,,50.6%,Medium,,
1277. Count Square Submatrices with All Ones,https://leetcode.com/problems/count-square-submatrices-with-all-ones,,74.1%,Medium,,
1278. Palindrome Partitioning III,https://leetcode.com/problems/palindrome-partitioning-iii,,60.9%,,,Hard
1279. Traffic Light Controlled Intersection,https://leetcode.com/problems/traffic-light-controlled-intersection,,75.5%,,Easy,
1280. Students and Examinations,https://leetcode.com/problems/students-and-examinations,,74.6%,,Easy,
1281. Subtract the Product and Sum of Digits of an Integer,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer,,86.1%,,Easy,
1282. Group the People Given the Group Size They Belong To,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,,85.2%,Medium,,
1283. Find the Smallest Divisor Given a Threshold,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,,53.4%,Medium,,
1284. Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,,71.5%,,,Hard
1285. Find the Start and End Number of Continuous Ranges,https://leetcode.com/problems/find-the-start-and-end-number-of-continuous-ranges,,88.4%,Medium,,
1286. Iterator for Combination,https://leetcode.com/problems/iterator-for-combination,https://leetcode.com/problems/iterator-for-combination/solution,73.2%,Medium,,
1287. Element Appearing More Than 25% In Sorted Array,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array,,59.5%,,Easy,
1288. Remove Covered Intervals,https://leetcode.com/problems/remove-covered-intervals,https://leetcode.com/problems/remove-covered-intervals/solution,57.4%,Medium,,
1289. Minimum Falling Path Sum II,https://leetcode.com/problems/minimum-falling-path-sum-ii,,61.5%,,,Hard
1290. Convert Binary Number in a Linked List to Integer,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/solution,82.7%,,Easy,
1291. Sequential Digits,https://leetcode.com/problems/sequential-digits,https://leetcode.com/problems/sequential-digits/solution,60.8%,Medium,,
1292. Maximum Side Length of a Square with Sum Less than or Equal to Threshold,https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,,52.2%,Medium,,
1293. Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/solution,43.6%,,,Hard
1294. Weather Type in Each Country,https://leetcode.com/problems/weather-type-in-each-country,,67.4%,,Easy,
1295. Find Numbers with Even Number of Digits,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,,77.2%,,Easy,
1296. Divide Array in Sets of K Consecutive Numbers,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers,,56.4%,Medium,,
1297. Maximum Number of Occurrences of a Substring,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,,52.4%,Medium,,
1298. Maximum Candies You Can Get from Boxes,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,,60.8%,,,Hard
1299. Replace Elements with Greatest Element on Right Side,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,,74.4%,,Easy,
1300. Sum of Mutated Array Closest to Target,https://leetcode.com/problems/sum-of-mutated-array-closest-to-target,,42.5%,Medium,,
1301. Number of Paths with Max Score,https://leetcode.com/problems/number-of-paths-with-max-score,,38.7%,,,Hard
1302. Deepest Leaves Sum,https://leetcode.com/problems/deepest-leaves-sum,https://leetcode.com/problems/deepest-leaves-sum/solution,85.7%,Medium,,
1303. Find the Team Size,https://leetcode.com/problems/find-the-team-size,,90.6%,,Easy,
1304. Find N Unique Integers Sum up to Zero,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero,,76.9%,,Easy,
1305. All Elements in Two Binary Search Trees,https://leetcode.com/problems/all-elements-in-two-binary-search-trees,https://leetcode.com/problems/all-elements-in-two-binary-search-trees/solution,79.6%,Medium,,
1306. Jump Game III,https://leetcode.com/problems/jump-game-iii,https://leetcode.com/problems/jump-game-iii/solution,62.6%,Medium,,
1307. Verbal Arithmetic Puzzle,https://leetcode.com/problems/verbal-arithmetic-puzzle,,35.1%,,,Hard
1308. Running Total for Different Genders,https://leetcode.com/problems/running-total-for-different-genders,,88.2%,Medium,,
1309. Decrypt String from Alphabet to Integer Mapping,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping,,78.3%,,Easy,
1310. XOR Queries of a Subarray,https://leetcode.com/problems/xor-queries-of-a-subarray,,71.1%,Medium,,
1311. Get Watched Videos by Your Friends,https://leetcode.com/problems/get-watched-videos-by-your-friends,,45.1%,Medium,,
1312. Minimum Insertion Steps to Make a String Palindrome,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,,63.0%,,,Hard
1313. Decompress Run-Length Encoded List,https://leetcode.com/problems/decompress-run-length-encoded-list,,85.8%,,Easy,
1314. Matrix Block Sum,https://leetcode.com/problems/matrix-block-sum,,75.0%,Medium,,
1315. Sum of Nodes with Even-Valued Grandparent,https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent,,85.1%,Medium,,
1316. Distinct Echo Substrings,https://leetcode.com/problems/distinct-echo-substrings,,50.1%,,,Hard
1317. Convert Integer to the Sum of Two No-Zero Integers,https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers,,57.1%,,Easy,
1318. Minimum Flips to Make a OR b Equal to c,https://leetcode.com/problems/minimum-flips-to-make-a-or-b-equal-to-c,,65.0%,Medium,,
1319. Number of Operations to Make Network Connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected,,57.4%,Medium,,
1320. Minimum Distance to Type a Word Using Two Fingers,https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers,,60.4%,,,Hard
1321. Restaurant Growth,https://leetcode.com/problems/restaurant-growth,,72.5%,Medium,,
1322. Ads Performance,https://leetcode.com/problems/ads-performance,,60.0%,,Easy,
1323. Maximum 69 Number,https://leetcode.com/problems/maximum-69-number,,78.8%,,Easy,
1324. Print Words Vertically,https://leetcode.com/problems/print-words-vertically,,59.4%,Medium,,
1325. Delete Leaves With a Given Value,https://leetcode.com/problems/delete-leaves-with-a-given-value,,74.8%,Medium,,
1326. Minimum Number of Taps to Open to Water a Garden,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,,48.2%,,,Hard
1327. List the Products Ordered in a Period,https://leetcode.com/problems/list-the-products-ordered-in-a-period,,77.4%,,Easy,
1328. Break a Palindrome,https://leetcode.com/problems/break-a-palindrome,https://leetcode.com/problems/break-a-palindrome/solution,52.4%,Medium,,
1329. Sort the Matrix Diagonally,https://leetcode.com/problems/sort-the-matrix-diagonally,https://leetcode.com/problems/sort-the-matrix-diagonally/solution,81.4%,Medium,,
1330. Reverse Subarray To Maximize Array Value,https://leetcode.com/problems/reverse-subarray-to-maximize-array-value,,38.7%,,,Hard
1331. Rank Transform of an Array,https://leetcode.com/problems/rank-transform-of-an-array,,58.4%,,Easy,
1332. Remove Palindromic Subsequences,https://leetcode.com/problems/remove-palindromic-subsequences,https://leetcode.com/problems/remove-palindromic-subsequences/solution,69.5%,,Easy,
"1333. Filter Restaurants by Vegan-Friendly, Price and Distance",https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance,,58.6%,Medium,,
1334. Find the City With the Smallest Number of Neighbors at a Threshold Distance,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,,50.8%,Medium,,
1335. Minimum Difficulty of a Job Schedule,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule,,56.8%,,,Hard
1336. Number of Transactions per Visit,https://leetcode.com/problems/number-of-transactions-per-visit,,51.2%,,,Hard
1337. The K Weakest Rows in a Matrix,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/solution,72.2%,,Easy,
1338. Reduce Array Size to The Half,https://leetcode.com/problems/reduce-array-size-to-the-half,https://leetcode.com/problems/reduce-array-size-to-the-half/solution,68.4%,Medium,,
1339. Maximum Product of Splitted Binary Tree,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree/solution,42.8%,Medium,,
1340. Jump Game V,https://leetcode.com/problems/jump-game-v,,62.0%,,,Hard
1341. Movie Rating,https://leetcode.com/problems/movie-rating,,58.0%,Medium,,
1342. Number of Steps to Reduce a Number to Zero,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/solution,85.7%,,Easy,
1343. Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,,67.9%,Medium,,
1344. Angle Between Hands of a Clock,https://leetcode.com/problems/angle-between-hands-of-a-clock,https://leetcode.com/problems/angle-between-hands-of-a-clock/solution,62.9%,Medium,,
1345. Jump Game IV,https://leetcode.com/problems/jump-game-iv,https://leetcode.com/problems/jump-game-iv/solution,44.4%,,,Hard
1346. Check If N and Its Double Exist,https://leetcode.com/problems/check-if-n-and-its-double-exist,,35.5%,,Easy,
1347. Minimum Number of Steps to Make Two Strings Anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,,76.1%,Medium,,
1348. Tweet Counts Per Frequency,https://leetcode.com/problems/tweet-counts-per-frequency,,42.7%,Medium,,
1349. Maximum Students Taking Exam,https://leetcode.com/problems/maximum-students-taking-exam,,46.6%,,,Hard
1350. Students With Invalid Departments,https://leetcode.com/problems/students-with-invalid-departments,,90.5%,,Easy,
1351. Count Negative Numbers in a Sorted Matrix,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix,,75.2%,,Easy,
1352. Product of the Last K Numbers,https://leetcode.com/problems/product-of-the-last-k-numbers,,47.5%,Medium,,
1353. Maximum Number of Events That Can Be Attended,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,,33.3%,Medium,,
1354. Construct Target Array With Multiple Sums,https://leetcode.com/problems/construct-target-array-with-multiple-sums,https://leetcode.com/problems/construct-target-array-with-multiple-sums/solution,31.2%,,,Hard
1355. Activity Participants,https://leetcode.com/problems/activity-participants,,74.5%,Medium,,
1356. Sort Integers by The Number of 1 Bits,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,,71.0%,,Easy,
1357. Apply Discount Every n Orders,https://leetcode.com/problems/apply-discount-every-n-orders,,68.7%,Medium,,
1358. Number of Substrings Containing All Three Characters,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,,62.1%,Medium,,
1359. Count All Valid Pickup and Delivery Options,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options/solution,63.3%,,,Hard
1360. Number of Days Between Two Dates,https://leetcode.com/problems/number-of-days-between-two-dates,,46.7%,,Easy,
1361. Validate Binary Tree Nodes,https://leetcode.com/problems/validate-binary-tree-nodes,,41.6%,Medium,,
1362. Closest Divisors,https://leetcode.com/problems/closest-divisors,,59.1%,Medium,,
1363. Largest Multiple of Three,https://leetcode.com/problems/largest-multiple-of-three,,34.3%,,,Hard
1364. Number of Trusted Contacts of a Customer,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer,,78.6%,Medium,,
1365. How Many Numbers Are Smaller Than the Current Number,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number,,86.3%,,Easy,
1366. Rank Teams by Votes,https://leetcode.com/problems/rank-teams-by-votes,,58.7%,Medium,,
1367. Linked List in Binary Tree,https://leetcode.com/problems/linked-list-in-binary-tree,,42.4%,Medium,,
1368. Minimum Cost to Make at Least One Valid Path in a Grid,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid,,60.4%,,,Hard
1369. Get the Second Most Recent Activity,https://leetcode.com/problems/get-the-second-most-recent-activity,,68.8%,,,Hard
1370. Increasing Decreasing String,https://leetcode.com/problems/increasing-decreasing-string,,77.7%,,Easy,
1371. Find the Longest Substring Containing Vowels in Even Counts,https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts,,62.3%,Medium,,
1372. Longest ZigZag Path in a Binary Tree,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,,57.8%,Medium,,
1373. Maximum Sum BST in Binary Tree,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree,,38.5%,,,Hard
1374. Generate a String With Characters That Have Odd Counts,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts,,77.3%,,Easy,
1375. Number of Times Binary String Is Prefix-Aligned,https://leetcode.com/problems/number-of-times-binary-string-is-prefix-aligned,,65.5%,Medium,,
1376. Time Needed to Inform All Employees,https://leetcode.com/problems/time-needed-to-inform-all-employees,,57.9%,Medium,,
1377. Frog Position After T Seconds,https://leetcode.com/problems/frog-position-after-t-seconds,,36.3%,,,Hard
1378. Replace Employee ID With The Unique Identifier,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier,,91.1%,,Easy,
1379. Find a Corresponding Node of a Binary Tree in a Clone of That Tree,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree/solution,85.4%,Medium,,
1380. Lucky Numbers in a Matrix,https://leetcode.com/problems/lucky-numbers-in-a-matrix,,70.9%,,Easy,
1381. Design a Stack With Increment Operation,https://leetcode.com/problems/design-a-stack-with-increment-operation,,77.0%,Medium,,
1382. Balance a Binary Search Tree,https://leetcode.com/problems/balance-a-binary-search-tree,,80.1%,Medium,,
1383. Maximum Performance of a Team,https://leetcode.com/problems/maximum-performance-of-a-team,https://leetcode.com/problems/maximum-performance-of-a-team/solution,41.4%,,,Hard
1384. Total Sales Amount by Year,https://leetcode.com/problems/total-sales-amount-by-year,,65.8%,,,Hard
1385. Find the Distance Value Between Two Arrays,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,,66.1%,,Easy,
1386. Cinema Seat Allocation,https://leetcode.com/problems/cinema-seat-allocation,,39.1%,Medium,,
1387. Sort Integers by The Power Value,https://leetcode.com/problems/sort-integers-by-the-power-value,,70.1%,Medium,,
1388. Pizza With 3n Slices,https://leetcode.com/problems/pizza-with-3n-slices,,48.4%,,,Hard
1389. Create Target Array in the Given Order,https://leetcode.com/problems/create-target-array-in-the-given-order,,85.5%,,Easy,
1390. Four Divisors,https://leetcode.com/problems/four-divisors,,40.6%,Medium,,
1391. Check if There is a Valid Path in a Grid,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid,,46.5%,Medium,,
1392. Longest Happy Prefix,https://leetcode.com/problems/longest-happy-prefix,,44.3%,,,Hard
1393. Capital Gain/Loss,https://leetcode.com/problems/capital-gainloss,,91.3%,Medium,,
1394. Find Lucky Integer in an Array,https://leetcode.com/problems/find-lucky-integer-in-an-array,https://leetcode.com/problems/find-lucky-integer-in-an-array/solution,63.5%,,Easy,
1395. Count Number of Teams,https://leetcode.com/problems/count-number-of-teams,,69.7%,Medium,,
1396. Design Underground System,https://leetcode.com/problems/design-underground-system,https://leetcode.com/problems/design-underground-system/solution,71.8%,Medium,,
1397. Find All Good Strings,https://leetcode.com/problems/find-all-good-strings,,40.5%,,,Hard
